ts,symbol,type,total,direction,factors,tech,whale,oi,stable_d,cluster,cvd,vol,fg,liq,ls,stw,fr,mtf,contra,rsi,rsivol,oi_pct,stable_pct,price,cvd_veto,cooldown_loss,hl_oi,hl_fr,hl_whale,vp,vp_pos,ff,ff_detail,ob,ob_pct
2026-04-22 09:36:17,SOLUSDT,W,7,LONG,5,5,0,0,0,0,1,0,-1,1,1,0,-1,2,0,73.8,25.8,0.0,9.87,88.45,,,0,-1,0,0,inside_va,0,fan_down pivot=149.0 dist=27.3%,0,4.4
2026-04-22 09:36:42,XRPUSDT,W,5,LONG,3,7,0,0,0,0,-2,-1,-1,-1,1,0,0,3,1,67.8,21.8,-0.03,9.87,1.4512,,,0,-1,0,0,inside_va,0,fan_down pivot=2.0 dist=6.1%,0,0.3
2026-04-22 09:36:56,LUNCUSDT,W,1,LONG,2,3,0,0,0,-1,0,0,-1,0,0,0,0,0,-1,94.1,38.6,0.0,9.87,0.0,,,0,0,0,0,error,-1,line=23.6%@0.0 resist,1,20.9
2026-04-22 09:37:14,LINKUSDT,W,8,LONG,5,6,0,0,0,1,1,-1,-1,0,1,0,-1,3,0,71.5,29.3,0.14,9.87,9.53,,,0,-1,0,0,inside_va,0,fan_up pivot=7.0 dist=1.9%,0,11.9
2026-04-22 09:37:31,LTCUSDT,W,5,LONG,3,6,0,0,0,0,-2,0,-1,0,1,0,0,2,1,69.3,23.1,0.1,9.87,56.07,,,0,-1,0,0,inside_va,0,fan_down pivot=85.0 dist=6.4%,0,-3.3
2026-04-22 09:37:46,OPUSDT,W,9,LONG,4,6,0,0,0,0,2,-1,-1,0,1,0,0,3,2,65.6,8.5,-0.16,9.87,0.1272,,,0,-1,0,0,inside_va,0,fan_down pivot=0.0 dist=15.1%,0,9.4
2026-04-22 09:38:03,XLMUSDT,W,-1,SHORT,5,1,0,0,0,1,-2,-1,-1,-1,1,0,0,2,-1,73.0,69.4,0.0,9.87,0.1796,,,0,-1,0,0,inside_va,0,fan_up pivot=0.0 dist=23.0%,0,0.0
2026-04-22 09:38:24,TRXUSDT,W,0,NEUTRAL,0,0,0,0,0,0,0,0,-1,0,1,0,0,1,-1,50.6,79.5,0.21,9.87,0.3326,,,0,-1,0,0,inside_va,0,fan_up pivot=0.0 dist=2.7%,0,3.1
2026-04-22 09:38:36,BGBUSDT,W,8,LONG,5,2,0,0,0,-1,0,0,-1,0,-1,0,1,6,-1,77.1,55.5,0.0,9.87,1.9606,,,0,0,0,0,error,1,line=78.6%@1.95 support,1,28.4
2026-04-22 11:05:52,BTCUSDT,T,-2,SHORT,5,2,0,0,0,-2,-2,-1,-1,1,-1,0,0,0,-1,73.8,41.6,0.1,9.86,78224.8,,,0,0,0,0,error,0,fan_up pivot=59900.0 dist=5.0%,0,-2.1,2,0.4212121212121212
2026-04-22 11:06:24,ETHUSDT,T,5,LONG,6,5,0,0,0,1,0,-1,-1,1,1,0,-1,1,0,78.0,21.3,0.05,9.86,2390.84,,,0,-1,0,0,inside_va,0,fan_up pivot=1736.0 dist=1.8%,-2,-50.8,2,0.4666666666666667
2026-04-22 11:06:49,TONUSDT,T,4,LONG,4,0,0,0,0,2,0,-1,-1,-1,1,0,0,3,-1,76.1,33.3,-0.06,9.86,1.3771,,,0,-1,0,0,inside_va,0,fan_down pivot=2.0 dist=7.6%,0,12.0,2,0.4666666666666667
2026-04-22 11:07:05,TRBUSDT,W,7,LONG,4,8,0,0,0,0,-1,-1,-1,-1,1,0,0,3,2,62.8,2.0,-0.35,9.86,18.836,,,0,-1,0,0,inside_va,-1,line=50.0%@19.05 resist,0,12.2,1,0.35454545454545455
